annee,mois,jour,temperature,humidite,precipitations,vent,pression,indice_uv,score
2023,janvier,1,9.3,75.5,5.6,13.1,1015.4,1.6,51
2023,janvier,2,11.5,77.6,5.7,21.1,1018.0,1.7,61
2023,janvier,3,6.6,nan,4.9,nan,1020.3,2.0,0
2023,janvier,4,10.1,nan,3.2,22.3,1013.8,2.3,0
2023,janvier,5,nan,74.7,3.7,18.2,nan,1.5,0
2023,janvier,6,17.5,78.3,2.8,22.1,nan,2.5,61
2023,janvier,7,13.7,82.0,1.3,18.9,1018.5,nan,0
2023,janvier,8,9.6,80.8,6.2,13.7,1025.4,2.9,46
2023,janvier,9,13.4,76.9,4.4,17.7,1014.4,1.1,61
2023,janvier,10,12.7,nan,3.4,nan,1022.1,1.6,0
2023,janvier,11,16.6,75.6,4.4,16.4,1018.5,2.8,61
2023,janvier,12,17.3,nan,nan,18.7,1014.5,nan,0
2023,janvier,13,10.5,77.0,5.4,18.7,1015.0,2.1,61
2023,janvier,14,13.2,72.1,3.2,18.6,1019.2,1.8,61
2023,janvier,15,13.6,76.4,3.5,nan,1020.5,2.9,0
2023,janvier,16,12.6,67.5,5.9,12.8,1020.2,3.2,68
2023,janvier,17,nan,nan,9.1,16.3,nan,4.2,0
2023,janvier,18,14.8,64.6,6.1,13.1,nan,2.6,68
2023,janvier,19,8.5,68.4,9.5,nan,1017.3,3.1,0
2023,janvier,20,10.0,85.5,9.1,16.4,1018.2,2.2,56
2023,janvier,21,nan,72.3,nan,13.1,1010.9,2.7,0
2023,janvier,22,10.7,75.7,4.7,22.0,1012.8,1.7,61
2023,janvier,23,11.5,79.0,6.1,14.0,1016.8,3.4,61
2023,janvier,24,nan,nan,9.1,15.1,1019.4,3.2,0
2023,janvier,25,nan,74.4,nan,nan,1022.3,3.3,0
2023,janvier,26,11.8,80.7,nan,nan,1017.5,1.2,0
2023,janvier,27,11.8,70.3,6.2,nan,1016.9,nan,0
2023,janvier,28,12.3,74.0,2.8,18.5,nan,2.1,61
2023,janvier,29,14.9,80.2,2.6,26.4,1025.4,1.8,56
2023,janvier,30,9.6,77.6,2.7,12.0,1016.7,3.1,51
2023,janvier,31,10.4,71.7,3.0,19.6,1013.6,2.1,61
2023,fevrier,1,13.8,62.4,3.8,12.8,1017.8,1.9,68
2023,fevrier,2,12.2,70.3,3.8,24.9,1013.6,nan,0
2023,fevrier,3,nan,65.0,4.3,9.8,1019.0,nan,0
2023,fevrier,4,16.1,75.1,3.8,nan,1011.9,3.0,0
2023,fevrier,5,10.5,68.5,1.2,21.5,1021.1,nan,0
2023,fevrier,6,13.4,63.9,3.9,10.8,1022.4,2.8,68
2023,fevrier,7,10.7,70.9,8.7,22.6,1015.4,0.4,61
2023,fevrier,8,9.8,nan,8.1,22.2,1014.9,2.4,0
2023,fevrier,9,19.4,69.2,0.8,16.4,1015.6,2.8,85
2023,fevrier,10,17.0,75.0,3.3,24.2,1017.0,3.8,61
2023,fevrier,11,11.5,74.9,2.1,9.0,1017.9,2.0,61
2023,fevrier,12,9.9,nan,0.7,13.2,1017.8,nan,0
2023,fevrier,13,16.3,62.6,7.1,nan,nan,3.8,0
2023,fevrier,14,14.7,62.4,2.8,16.2,1029.8,2.5,68
2023,fevrier,15,11.3,67.9,4.3,21.0,1014.1,4.8,68
2023,fevrier,16,12.2,78.1,2.5,20.4,1020.8,2.6,61
2023,fevrier,17,14.2,83.3,2.2,17.2,1017.5,3.6,56
2023,fevrier,18,9.3,70.1,7.7,20.7,1011.6,1.9,51
2023,fevrier,19,13.1,64.7,1.4,17.6,1018.8,3.5,75
2023,fevrier,20,16.4,71.4,nan,19.2,1019.4,2.3,0
2023,fevrier,21,10.5,69.2,3.1,24.6,1014.7,3.6,68
2023,fevrier,22,nan,78.0,nan,nan,1015.0,2.4,0
2023,fevrier,23,20.5,76.0,nan,22.0,1020.3,1.5,0
