nom_station,mois,jour,temperature,humidite,precipitations,vent,pression,indice_uv,score
Station_Fes,janvier,1,nan,80,nan,24,nan,nan,0
Station_Fes,janvier,2,35,74,0,34,1023,nan,0
Station_Fes,janvier,3,nan,nan,nan,nan,nan,5,0
Station_Fes,janvier,4,15,42,nan,nan,1025,nan,0
Station_Fes,janvier,5,nan,nan,nan,34,nan,nan,0
Station_Fes,janvier,6,10,29,14,nan,nan,nan,0
Station_Fes,janvier,7,8,28,9,96,nan,nan,0
Station_Fes,janvier,8,nan,nan,0,nan,nan,nan,0
Station_Fes,janvier,9,29,17,15,nan,nan,11,0
Station_Fes,janvier,10,nan,78,15,18,985,nan,0
Station_Fes,janvier,11,nan,41,19,39,nan,nan,0
Station_Fes,janvier,12,3,nan,1,97,988,9,0
Station_Fes,janvier,13,nan,nan,nan,8,1008,nan,0
Station_Fes,janvier,14,9,nan,nan,51,1037,0,0
Station_Fes,janvier,15,nan,5,nan,nan,1034,3,0
Station_Fes,janvier,16,nan,nan,4,55,987,10,0
Station_Fes,janvier,17,27,98,nan,89,1026,nan,0
Station_Fes,janvier,18,33,nan,12,41,nan,8,0
Station_Fes,janvier,19,nan,14,17,nan,984,nan,0
Station_Fes,janvier,20,nan,nan,nan,nan,1014,3,0
Station_Fes,janvier,21,20,nan,1,66,984,1,0
Station_Fes,janvier,22,5,72,10,69,nan,3,36
Station_Fes,janvier,23,nan,77,1,nan,nan,6,0
Station_Fes,janvier,24,nan,nan,18,63,1021,nan,0
Station_Fes,janvier,25,9,nan,nan,nan,nan,nan,0
Station_Fes,janvier,26,nan,nan,nan,49,nan,2,0
Station_Fes,janvier,27,10,45,nan,nan,1021,4,0
Station_Fes,janvier,28,nan,nan,4,63,1007,0,0
Station_Fes,janvier,29,32,nan,nan,11,nan,1,0
Station_Fes,janvier,30,32,75,nan,nan,1011,5,0
Station_Fes,janvier,31,nan,77,nan,nan,1013,7,0
Station_Fes,fevrier,1,19,19,nan,nan,nan,11,0
