annee,mois,jour,temperature,humidite,precipitations,vent,pression,indice_uv,score
2023,janvier,1,nan,74.3,nan,20.9,1019.3,3.3,0
2023,janvier,2,nan,68.0,7.2,20.7,1023.3,2.4,0
2023,janvier,3,16.0,78.1,4.0,16.9,1016.6,2.0,61
2023,janvier,4,16.2,75.5,6.9,19.3,1017.1,2.6,61
2023,janvier,5,13.0,nan,4.6,17.0,1020.3,2.1,0
2023,janvier,6,8.7,nan,6.4,nan,1016.6,1.5,0
2023,janvier,7,13.6,71.0,7.8,20.4,1019.5,3.8,61
2023,janvier,8,19.9,76.5,5.2,nan,nan,2.3,0
2023,janvier,9,11.0,nan,4.9,19.5,1016.1,1.2,0
2023,janvier,10,11.2,75.7,nan,17.0,nan,1.7,0
2023,janvier,11,nan,nan,5.9,18.4,1020.1,nan,0
2023,janvier,12,14.8,78.1,6.9,19.6,1015.9,nan,0
2023,janvier,13,13.7,78.4,4.0,12.6,1016.6,0.5,61
2023,janvier,14,12.6,80.3,7.0,20.3,1019.8,3.4,56
2023,janvier,15,nan,83.2,6.2,nan,1018.3,0.6,0
2023,janvier,16,11.7,70.8,5.1,nan,nan,3.3,0
2023,janvier,17,7.6,75.6,7.3,12.3,1020.0,3.1,51
2023,janvier,18,12.9,79.8,1.8,18.6,1017.2,nan,0
2023,janvier,19,12.2,68.8,5.7,10.0,1021.7,1.5,68
2023,janvier,20,2.2,66.9,7.5,18.3,1021.6,3.3,58
2023,janvier,21,13.3,72.7,3.5,17.1,1020.1,4.0,61
2023,janvier,22,18.7,nan,7.2,20.2,1017.1,1.0,0
2023,janvier,23,9.4,71.9,4.0,18.4,nan,1.5,51
2023,janvier,24,14.2,71.5,nan,22.7,1018.4,2.7,0
2023,janvier,25,7.0,nan,4.2,12.5,nan,nan,0
2023,janvier,26,11.3,nan,7.0,18.8,nan,1.6,0
2023,janvier,27,9.1,81.0,3.9,nan,1023.3,0.8,0
2023,janvier,28,9.7,70.4,3.7,15.3,1019.3,nan,0
2023,janvier,29,nan,70.3,5.6,15.7,1017.1,nan,0
2023,janvier,30,17.8,69.0,8.6,nan,1016.1,1.9,0
2023,janvier,31,12.0,71.6,6.6,19.6,1013.5,nan,0
2023,fevrier,1,19.7,82.7,3.7,15.7,1009.3,2.3,66
2023,fevrier,2,nan,78.2,5.2,nan,1019.8,2.7,0
2023,fevrier,3,12.1,83.2,5.2,13.6,1014.2,4.3,56
2023,fevrier,4,14.6,nan,5.1,19.7,1019.1,3.1,0
2023,fevrier,5,14.8,79.6,nan,16.3,1014.2,5.4,0
2023,fevrier,6,20.6,64.0,5.3,20.6,1014.8,4.7,78
2023,fevrier,7,12.1,66.1,6.3,14.3,1019.0,3.7,68
2023,fevrier,8,nan,68.5,4.1,19.7,1012.7,4.8,0
2023,fevrier,9,14.7,nan,2.6,15.9,1013.9,1.3,0
2023,fevrier,10,11.7,nan,3.5,23.3,1018.9,3.0,0
2023,fevrier,11,11.2,nan,6.7,21.1,1020.5,3.0,0
2023,fevrier,12,17.4,nan,3.6,20.5,1015.5,3.0,0
2023,fevrier,13,8.3,76.3,3.0,nan,1014.4,2.0,0
2023,fevrier,14,12.3,69.1,2.6,nan,1014.5,2.8,0
2023,fevrier,15,15.2,67.1,4.1,18.2,nan,3.4,68
2023,fevrier,16,14.3,72.4,3.7,18.8,nan,4.2,61
2023,fevrier,17,16.0,76.8,4.9,nan,nan,4.0,0
2023,fevrier,18,14.4,79.3,4.3,21.8,1015.7,1.9,61
2023,fevrier,19,12.8,73.1,6.8,13.7,1015.0,2.4,61
2023,fevrier,20,nan,73.7,5.6,23.5,nan,nan,0
2023,fevrier,21,14.8,84.0,2.0,24.7,1015.8,nan,0
2023,fevrier,22,6.6,71.1,0.0,15.2,nan,nan,0
2023,fevrier,23,19.4,67.2,2.4,20.6,nan,3.5,78
2023,fevrier,24,14.2,73.2,4.3,nan,1017.1,nan,0
2023,fevrier,25,10.6,75.0,3.9,16.1,1013.6,3.9,61
2023,fevrier,26,9.5,72.2,2.7,nan,1014.8,4.4,0
2023,fevrier,27,nan,nan,6.1,22.2,1015.6,2.2,0
2023,fevrier,28,nan,71.3,0.0,16.2,1009.2,1.9,0
2023,fevrier,29,15.1,65.0,0.8,19.2,1011.6,4.7,75
2023,mars,1,11.5,80.0,3.6,13.9,1013.3,4.2,61
2023,mars,2,14.3,70.1,1.0,19.4,nan,3.3,68
2023,mars,3,20.7,61.8,nan,14.1,nan,5.5,0
2023,mars,4,14.4,68.7,4.8,25.4,1020.8,2.6,68
2023,mars,5,16.8,70.3,4.6,15.6,1016.1,4.1,61
2023,mars,6,11.7,nan,3.1,14.9,1014.2,4.7,0
2023,mars,7,8.3,64.8,1.1,12.7,1020.0,nan,0
2023,mars,8,10.3,78.7,2.9,nan,1018.2,6.2,0
2023,mars,9,14.1,nan,2.7,15.8,1017.7,5.3,0
2023,mars,10,21.6,69.3,2.8,14.0,nan,4.1,78
2023,mars,11,17.3,62.9,4.7,nan,1016.9,1.6,0
2023,mars,12,14.3,73.7,5.6,23.0,1013.9,5.3,54
2023,mars,13,14.9,76.3,4.6,20.8,1021.0,4.0,61
2023,mars,14,14.1,68.2,2.6,18.4,1015.3,3.5,68
2023,mars,15,14.7,nan,2.4,nan,1017.4,3.8,0
2023,mars,16,18.7,nan,2.3,15.8,1016.3,3.3,0
2023,mars,17,15.9,67.5,4.9,14.2,1025.1,4.1,68
2023,mars,18,nan,67.9,5.4,19.7,nan,4.2,0
2023,mars,19,11.0,65.6,1.5,19.7,1014.2,2.9,75
2023,mars,20,15.3,64.1,4.7,21.1,1022.1,4.6,68
2023,mars,21,18.2,nan,6.4,16.5,1015.8,nan,0
2023,mars,22,17.6,nan,2.2,8.2,1013.7,4.2,0
2023,mars,23,12.6,63.1,1.9,7.9,1010.2,2.8,75
2023,mars,24,nan,68.0,5.0,17.1,1012.7,3.2,0
2023,mars,25,18.9,nan,4.2,18.1,nan,2.7,0
2023,mars,26,15.3,62.8,5.2,19.8,1013.9,2.2,68
2023,mars,27,17.8,68.3,3.4,13.4,1017.5,2.6,68
2023,mars,28,12.9,69.0,2.4,10.9,1012.7,4.4,68
2023,mars,29,14.3,65.3,nan,11.2,1018.7,3.5,0
2023,mars,30,16.9,76.8,4.8,13.3,1017.4,4.1,61
2023,mars,31,16.6,nan,5.7,20.2,1014.6,3.1,0
2023,avril,1,17.6,nan,1.7,9.1,1018.0,5.6,0
2023,avril,2,19.5,64.3,3.9,23.7,1016.2,4.8,78
2023,avril,3,16.0,67.6,4.3,nan,1015.6,5.2,0
2023,avril,4,15.5,55.1,4.2,18.0,1019.1,5.2,61
2023,avril,5,13.6,63.5,0.7,11.3,nan,nan,0
2023,avril,6,13.7,60.8,nan,6.4,1020.3,6.1,0
2023,avril,7,15.4,55.3,4.6,19.6,1018.7,4.6,68
2023,avril,8,19.6,nan,3.5,11.9,1013.3,5.5,0
2023,avril,9,13.0,64.4,2.3,10.1,1013.2,5.1,61
2023,avril,10,21.9,70.9,2.8,17.5,1013.2,6.1,64
2023,avril,11,15.0,58.4,0.0,11.7,1012.6,5.6,68
2023,avril,12,20.6,57.3,4.6,12.3,1012.4,5.6,71
2023,avril,13,13.4,60.7,5.9,21.6,nan,6.9,61
2023,avril,14,18.1,60.9,0.0,12.8,1018.2,3.1,85
2023,avril,15,26.9,57.2,3.3,nan,1016.9,5.0,0
2023,avril,16,19.1,58.1,4.2,19.5,1012.9,nan,0
2023,avril,17,16.1,60.7,5.3,14.5,1013.4,5.0,68
2023,avril,18,13.7,62.9,2.8,25.8,1017.0,nan,0
2023,avril,19,19.3,60.2,nan,nan,1016.2,4.0,0
2023,avril,20,nan,57.1,2.5,nan,1012.1,7.5,0
2023,avril,21,20.7,66.1,4.4,19.3,1011.3,4.7,78
2023,avril,22,11.2,55.6,2.5,19.3,nan,5.4,61
2023,avril,23,19.7,70.9,2.7,16.6,nan,4.0,71
2023,avril,24,14.0,63.5,3.0,nan,1015.7,6.0,0
2023,avril,25,nan,58.1,4.2,23.7,1014.1,5.1,0
2023,avril,26,16.2,68.1,4.5,6.5,1013.0,3.5,68
2023,avril,27,19.5,nan,3.2,16.1,1013.6,5.3,0
2023,avril,28,18.5,56.1,1.2,8.0,1010.0,5.6,78
2023,avril,29,16.4,67.9,2.4,19.3,1013.2,5.3,61
2023,avril,30,17.5,66.1,1.9,19.8,1017.7,5.0,75
2023,mai,1,22.2,62.8,nan,18.4,1012.9,6.6,0
2023,mai,2,21.5,61.8,1.7,13.2,1011.9,7.3,72
2023,mai,3,19.2,47.0,3.2,22.1,1010.4,6.9,71
2023,mai,4,25.9,58.5,2.7,16.2,1012.9,7.3,65
2023,mai,5,nan,56.3,3.6,nan,1015.2,nan,0
2023,mai,6,21.9,54.5,1.8,18.6,nan,8.0,72
2023,mai,7,20.6,59.7,2.1,12.8,1015.3,nan,0
2023,mai,8,18.4,nan,0.2,12.8,1013.8,7.7,0
2023,mai,9,19.6,64.3,4.0,17.7,1018.8,6.1,71
2023,mai,10,19.7,52.5,1.0,15.7,1013.9,7.6,72
2023,mai,11,nan,64.9,nan,10.4,1004.9,nan,0
2023,mai,12,18.7,62.6,3.4,19.8,1010.7,6.2,71
2023,mai,13,24.6,62.1,0.0,10.6,1018.4,6.9,78
2023,mai,14,20.1,57.6,2.7,9.2,1014.6,8.5,65
2023,mai,15,19.7,60.3,1.7,12.8,1013.5,7.6,72
2023,mai,16,20.7,56.7,2.7,17.8,1013.6,6.8,71
2023,mai,17,21.9,59.8,4.2,20.2,1013.0,6.9,71
2023,mai,18,16.4,63.8,3.5,23.2,1014.1,6.2,61
2023,mai,19,17.2,56.1,1.0,nan,1014.2,5.9,0
2023,mai,20,18.2,62.0,2.7,16.0,1015.5,5.8,71
2023,mai,21,nan,64.2,2.0,13.4,1014.3,7.1,0
2023,mai,22,23.1,55.1,nan,10.1,1012.6,6.8,0
2023,mai,23,16.0,60.9,1.1,15.7,1013.4,7.0,68
2023,mai,24,25.0,nan,0.0,18.1,1015.7,5.7,0
2023,mai,25,17.6,nan,0.5,nan,1011.4,8.4,0
2023,mai,26,23.9,56.6,0.0,nan,1013.6,8.4,0
2023,mai,27,nan,52.0,6.7,nan,1013.3,4.5,0
2023,mai,28,24.5,54.7,4.9,21.4,1018.3,6.6,71
2023,mai,29,27.7,56.7,0.0,15.0,1016.7,5.9,78
2023,mai,30,21.3,nan,4.7,14.2,1013.0,8.0,0
2023,mai,31,20.5,55.5,nan,13.0,nan,9.6,0
2023,juin,1,23.5,48.6,2.7,nan,1015.4,nan,0
2023,juin,2,29.1,59.3,3.2,5.8,1014.5,9.9,55
2023,juin,3,30.6,49.1,3.6,12.5,1009.8,9.1,55
2023,juin,4,26.4,51.0,0.3,nan,1010.0,8.7,0
2023,juin,5,28.1,nan,0.0,22.4,1011.4,10.4,0
2023,juin,6,22.7,nan,0.0,13.0,1013.1,9.3,0
2023,juin,7,26.0,52.8,2.9,15.2,1011.0,10.6,65
2023,juin,8,27.8,57.3,2.2,15.2,1012.3,8.5,65
2023,juin,9,24.6,52.2,0.0,15.7,1005.9,9.1,72
2023,juin,10,32.4,43.3,2.8,14.2,1015.8,9.0,45
2023,juin,11,nan,43.0,0.7,20.8,1012.7,8.5,0
2023,juin,12,32.5,47.9,2.3,13.8,nan,8.0,45
2023,juin,13,23.2,55.6,1.2,15.4,1011.4,8.8,72
2023,juin,14,27.8,63.6,4.2,14.9,nan,8.6,65
2023,juin,15,21.9,54.3,0.0,16.7,1014.3,6.8,78
2023,juin,16,19.1,50.2,2.6,15.2,1009.0,9.5,65
2023,juin,17,27.9,52.9,0.0,14.8,1012.5,8.4,72
2023,juin,18,25.2,44.4,nan,9.5,1014.5,nan,0
2023,juin,19,22.7,49.8,1.2,nan,1010.5,8.2,0
2023,juin,20,24.9,51.8,nan,14.2,1010.8,10.2,0
2023,juin,21,nan,52.9,0.0,11.5,1019.6,9.8,0
2023,juin,22,24.5,48.2,2.0,10.2,1014.9,8.0,72
2023,juin,23,26.2,51.3,0.0,15.4,1011.4,10.1,72
2023,juin,24,nan,53.1,0.0,8.7,1015.2,9.4,0
2023,juin,25,25.2,53.5,0.0,17.1,1014.4,8.8,72
2023,juin,26,nan,55.9,0.0,11.4,1009.5,8.3,0
2023,juin,27,21.0,61.9,2.0,20.3,1015.1,8.1,72
2023,juin,28,nan,49.1,nan,nan,1010.9,9.5,0
2023,juin,29,27.5,nan,4.8,13.3,1015.6,9.9,0
2023,juin,30,nan,nan,0.0,nan,1016.4,8.9,0
2023,juillet,1,27.5,46.4,0.0,8.7,1013.3,nan,0
2023,juillet,2,37.2,53.2,4.0,15.0,1011.5,11.0,45
2023,juillet,3,33.5,36.1,0.0,13.6,1014.3,11.0,45
2023,juillet,4,28.1,51.7,2.6,nan,1010.5,nan,0
2023,juillet,5,nan,36.7,1.6,6.9,1013.3,10.3,0
2023,juillet,6,23.6,45.3,nan,17.5,1008.2,10.9,0
2023,juillet,7,32.7,45.9,0.2,4.2,1010.3,9.8,52
2023,juillet,8,nan,41.8,0.0,7.2,1015.2,9.8,0
2023,juillet,9,35.9,52.4,1.7,21.6,1018.8,10.4,52
2023,juillet,10,30.9,42.7,0.0,10.2,1009.9,9.6,62
2023,juillet,11,28.9,45.7,1.2,13.1,1009.3,11.0,62
2023,juillet,12,nan,44.8,0.0,16.2,1012.9,9.3,0
2023,juillet,13,30.0,nan,nan,16.5,1014.3,10.0,0
2023,juillet,14,nan,40.4,1.3,12.4,1012.1,9.8,0
2023,juillet,15,30.8,nan,0.2,9.5,1013.1,10.2,0
2023,juillet,16,30.5,43.3,0.0,16.5,1008.1,9.9,62
2023,juillet,17,30.7,44.6,nan,9.6,1016.8,nan,0
2023,juillet,18,36.3,46.8,0.0,13.1,1012.0,9.5,52
2023,juillet,19,29.8,47.4,0.7,21.1,1016.4,7.8,62
2023,juillet,20,33.6,47.3,1.0,13.1,1014.0,10.7,52
2023,juillet,21,32.7,41.1,0.9,18.2,nan,10.6,52
2023,juillet,22,36.2,44.6,1.5,15.7,1010.6,10.7,52
2023,juillet,23,nan,53.8,0.0,11.3,1011.9,11.0,0
2023,juillet,24,28.7,48.1,0.0,nan,1010.5,11.0,0
2023,juillet,25,31.8,30.9,1.4,15.7,1005.4,9.1,55
2023,juillet,26,31.7,38.9,1.2,17.0,nan,8.2,55
2023,juillet,27,25.1,47.1,nan,13.0,nan,10.6,0
2023,juillet,28,38.6,45.7,0.0,16.7,1014.9,10.8,52
2023,juillet,29,34.7,46.0,0.0,8.0,1016.7,9.8,52
2023,juillet,30,nan,nan,0.0,11.0,1009.6,9.0,0
2023,juillet,31,32.7,51.2,0.0,13.3,1005.5,10.3,52
2023,aout,1,30.8,56.2,nan,14.7,1017.2,11.0,0
2023,aout,2,nan,44.3,0.0,19.0,1012.1,11.0,0
2023,aout,3,31.4,50.1,4.5,9.7,1015.6,9.5,55
2023,aout,4,27.4,46.6,3.6,11.1,1011.5,nan,0
2023,aout,5,33.9,57.5,1.4,nan,1012.6,9.3,0
2023,aout,6,29.7,54.0,0.0,20.8,1013.4,nan,0
2023,aout,7,31.1,35.9,1.6,15.1,1010.1,10.1,55
2023,aout,8,31.3,44.4,0.0,6.0,1015.4,11.0,62
2023,aout,9,28.8,41.0,0.4,nan,1012.5,9.8,0
2023,aout,10,31.2,52.3,0.9,6.0,nan,10.3,62
2023,aout,11,28.0,51.7,1.0,13.8,1013.3,8.9,72
2023,aout,12,nan,49.0,1.3,5.7,1013.5,8.7,0
2023,aout,13,26.3,44.8,2.0,17.1,1012.2,10.0,72
2023,aout,14,28.9,44.5,0.0,13.6,1007.2,nan,0
2023,aout,15,nan,46.1,2.8,6.2,1012.9,11.0,0
2023,aout,16,29.8,42.8,2.1,13.7,1010.7,9.6,55
2023,aout,17,nan,53.3,0.0,16.4,1008.5,11.0,0
2023,aout,18,29.8,48.7,0.5,11.2,1013.2,nan,0
2023,aout,19,30.4,51.2,1.3,14.1,1015.2,9.8,62
2023,aout,20,32.5,51.4,nan,15.9,1008.7,9.1,0
2023,aout,21,nan,47.5,0.2,nan,1011.6,10.4,0
2023,aout,22,33.8,53.4,1.2,9.5,1012.3,nan,0
2023,aout,23,30.2,50.5,0.0,5.6,1013.5,10.3,62
2023,aout,24,31.3,47.3,0.0,19.9,1013.5,8.9,62
2023,aout,25,35.5,39.7,0.4,15.3,1014.8,9.9,45
2023,aout,26,29.9,37.8,1.8,15.9,1008.1,10.9,55
2023,aout,27,nan,47.2,0.0,nan,1006.6,10.1,0
2023,aout,28,31.6,47.8,3.1,14.7,1008.4,8.8,55
2023,aout,29,30.3,51.8,3.3,19.3,1012.0,8.9,55
2023,aout,30,34.6,42.5,0.0,16.0,1012.8,9.6,52
2023,aout,31,37.0,48.8,2.2,13.7,1008.6,9.1,45
2023,septembre,1,29.4,54.9,nan,23.6,1014.0,nan,0
2023,septembre,2,29.5,48.9,3.4,17.2,1014.4,6.6,61
2023,septembre,3,26.4,54.9,0.9,16.4,1013.3,8.3,72
2023,septembre,4,23.1,52.6,1.9,15.0,1010.6,9.7,72
2023,septembre,5,nan,nan,nan,12.5,1018.1,nan,0
2023,septembre,6,29.4,56.5,0.8,22.0,nan,8.9,62
2023,septembre,7,24.6,49.3,2.9,8.7,1016.3,nan,0
2023,septembre,8,30.5,52.9,4.7,18.3,1021.6,9.2,55
2023,septembre,9,20.3,60.3,0.6,10.1,1018.2,8.6,72
2023,septembre,10,24.2,59.1,0.7,16.8,1011.2,10.1,72
2023,septembre,11,26.7,51.5,1.6,16.9,nan,6.7,78
2023,septembre,12,27.0,nan,0.7,7.2,nan,8.5,0
2023,septembre,13,25.9,nan,0.0,16.6,1014.8,8.1,0
2023,septembre,14,30.5,53.2,3.2,16.9,1015.5,nan,0
2023,septembre,15,nan,55.9,0.0,14.7,1016.1,7.7,0
2023,septembre,16,29.8,51.7,1.3,18.8,1014.6,8.6,62
2023,septembre,17,nan,58.0,0.4,15.5,1010.7,7.8,0
2023,septembre,18,32.9,nan,nan,14.7,1008.7,7.6,0
2023,septembre,19,22.3,54.0,1.1,9.2,nan,8.5,72
2023,septembre,20,31.7,57.0,0.0,12.1,1016.3,6.6,68
2023,septembre,21,nan,58.0,3.3,6.2,1016.2,8.3,0
2023,septembre,22,26.0,46.8,3.1,7.4,1016.5,7.0,71
2023,septembre,23,28.0,56.3,3.5,6.3,1011.3,8.7,65
2023,septembre,24,21.2,51.4,2.7,15.6,1014.4,7.7,65
2023,septembre,25,27.2,57.2,0.4,12.4,1013.1,7.1,72
2023,septembre,26,27.6,60.7,2.6,13.2,1018.8,9.8,65
2023,septembre,27,nan,66.4,3.6,17.2,1016.0,nan,0
2023,septembre,28,28.1,56.6,1.1,13.3,1011.9,7.4,62
2023,septembre,29,25.2,52.0,4.1,21.3,1013.0,8.9,65
2023,septembre,30,23.4,51.1,4.7,12.5,1011.4,8.2,65
2023,octobre,1,18.8,56.3,2.8,9.5,1017.3,4.1,78
2023,octobre,2,23.9,57.4,nan,14.2,1014.8,4.7,0
2023,octobre,3,18.7,62.1,3.3,18.8,nan,4.8,78
2023,octobre,4,25.6,54.2,0.2,12.2,1016.3,4.8,85
2023,octobre,5,nan,60.6,0.4,12.5,1012.3,5.5,0
2023,octobre,6,16.1,75.9,nan,15.8,1008.0,4.6,0
2023,octobre,7,19.5,nan,6.0,nan,1019.3,nan,0
2023,octobre,8,19.7,60.7,nan,10.0,1010.8,5.0,0
2023,octobre,9,26.2,nan,2.7,18.7,1008.3,6.1,0
2023,octobre,10,25.3,66.1,7.5,14.2,1013.5,4.1,78
2023,octobre,11,22.8,67.2,4.9,16.2,1017.3,5.2,71
2023,octobre,12,20.3,59.8,1.5,9.3,1011.2,5.9,78
2023,octobre,13,22.2,56.8,0.1,nan,1015.4,nan,0
2023,octobre,14,25.8,66.5,nan,16.0,1016.7,3.9,0
2023,octobre,15,24.9,66.1,6.9,16.9,1015.0,5.5,71
2023,octobre,16,nan,73.1,nan,21.4,1011.4,4.2,0
2023,octobre,17,26.1,57.7,3.2,nan,1014.9,5.9,0
2023,octobre,18,nan,63.0,0.2,17.6,nan,4.1,0
2023,octobre,19,17.7,58.0,3.1,16.4,1013.6,4.9,68
2023,octobre,20,nan,56.7,3.8,13.3,1018.3,nan,0
