nom_station,mois,jour,temperature,humidite,precipitations,vent,pression,indice_uv,score
Station_Marrakech,janvier,1,40,nan,nan,16,nan,nan,0
Station_Marrakech,janvier,2,5,nan,nan,nan,nan,nan,0
Station_Marrakech,janvier,3,nan,nan,nan,65,nan,6,0
Station_Marrakech,janvier,4,nan,nan,19,61,1004,4,0
Station_Marrakech,janvier,5,7,79,9,nan,997,nan,0
Station_Marrakech,janvier,6,10,nan,1,nan,nan,2,0
Station_Marrakech,janvier,7,37,nan,14,98,nan,10,0
Station_Marrakech,janvier,8,21,nan,11,nan,989,nan,0
Station_Marrakech,janvier,9,nan,nan,nan,16,nan,6,0
Station_Marrakech,janvier,10,nan,nan,18,38,1038,nan,0
Station_Marrakech,janvier,11,25,nan,20,nan,1038,9,0
Station_Marrakech,janvier,12,35,41,17,88,1033,10,22
Station_Marrakech,janvier,13,22,nan,5,61,nan,nan,0
Station_Marrakech,janvier,14,9,58,8,nan,1013,nan,0
Station_Marrakech,janvier,15,39,28,13,nan,994,8,0
Station_Marrakech,janvier,16,14,67,2,nan,995,4,0
Station_Marrakech,janvier,17,nan,nan,nan,nan,1019,nan,0
Station_Marrakech,janvier,18,nan,49,15,33,nan,8,0
Station_Marrakech,janvier,19,nan,nan,2,nan,1038,1,0
Station_Marrakech,janvier,20,9,nan,5,nan,1021,7,0
Station_Marrakech,janvier,21,16,nan,nan,7,nan,nan,0
Station_Marrakech,janvier,22,39,nan,15,82,nan,2,0
Station_Marrakech,janvier,23,40,40,nan,71,nan,5,0
Station_Marrakech,janvier,24,nan,nan,16,nan,nan,nan,0
Station_Marrakech,janvier,25,23,14,nan,84,1004,nan,0
Station_Marrakech,janvier,26,nan,nan,nan,10,nan,nan,0
Station_Marrakech,janvier,27,27,48,nan,36,1033,nan,0
Station_Marrakech,janvier,28,nan,4,19,nan,987,nan,0
Station_Marrakech,janvier,29,10,nan,3,26,985,nan,0
Station_Marrakech,janvier,30,10,nan,7,nan,nan,nan,0
Station_Marrakech,janvier,31,nan,77,10,5,nan,nan,0
Station_Marrakech,fevrier,1,0,nan,10,nan,1000,11,0
Station_Marrakech,fevrier,2,22,5,8,nan,nan,5,0
Station_Marrakech,fevrier,3,nan,nan,nan,3,nan,3,0
Station_Marrakech,fevrier,4,4,nan,5,nan,999,nan,0
Station_Marrakech,fevrier,5,15,nan,15,nan,982,0,0
Station_Marrakech,fevrier,6,37,38,nan,75,1020,nan,0
Station_Marrakech,fevrier,7,35,82,7,18,nan,nan,0
Station_Marrakech,fevrier,8,nan,nan,4,nan,994,nan,0
Station_Marrakech,fevrier,9,22,nan,1,nan,1006,nan,0
Station_Marrakech,fevrier,10,nan,nan,nan,nan,nan,6,0
Station_Marrakech,fevrier,11,nan,nan,nan,nan,1026,1,0
Station_Marrakech,fevrier,12,nan,nan,10,nan,nan,nan,0
Station_Marrakech,fevrier,13,nan,nan,0,nan,nan,9,0
Station_Marrakech,fevrier,14,nan,nan,nan,6,1037,nan,0
Station_Marrakech,fevrier,15,27,nan,nan,56,1026,nan,0
Station_Marrakech,fevrier,16,nan,0,nan,97,983,3,0
Station_Marrakech,fevrier,17,1,48,3,nan,nan,nan,0
Station_Marrakech,fevrier,18,nan,5,nan,40,nan,10,0
Station_Marrakech,fevrier,19,nan,nan,20,75,nan,nan,0
Station_Marrakech,fevrier,20,28,nan,14,42,nan,8,0
Station_Marrakech,fevrier,21,nan,44,nan,100,nan,nan,0
Station_Marrakech,fevrier,22,nan,nan,nan,nan,989,4,0
Station_Marrakech,fevrier,23,6,nan,nan,nan,nan,nan,0
Station_Marrakech,fevrier,24,6,51,14,nan,nan,nan,0
Station_Marrakech,fevrier,25,nan,56,14,52,nan,2,0
Station_Marrakech,fevrier,26,26,27,20,nan,981,nan,0
Station_Marrakech,fevrier,27,20,63,2,nan,nan,1,0
Station_Marrakech,fevrier,28,11,nan,3,nan,1040,6,0
Station_Marrakech,fevrier,29,nan,nan,13,nan,982,nan,0
Station_Marrakech,mars,1,27,77,nan,nan,nan,nan,0
Station_Marrakech,mars,2,8,nan,4,53,nan,nan,0
Station_Marrakech,mars,3,nan,nan,2,4,nan,nan,0
Station_Marrakech,mars,4,nan,37,5,74,993,7,0
Station_Marrakech,mars,5,nan,50,2,51,nan,nan,0
Station_Marrakech,mars,6,nan,10,4,1,nan,nan,0
Station_Marrakech,mars,7,32,66,1,nan,1012,nan,0
Station_Marrakech,mars,8,8,77,13,72,nan,nan,0
Station_Marrakech,mars,9,3,67,7,67,nan,3,43
Station_Marrakech,mars,10,37,57,19,nan,nan,nan,0
Station_Marrakech,mars,11,1,57,17,29,994,nan,0
Station_Marrakech,mars,12,nan,83,5,10,1001,6,0
Station_Marrakech,mars,13,25,nan,nan,98,1026,nan,0
Station_Marrakech,mars,14,nan,nan,11,nan,986,nan,0
Station_Marrakech,mars,15,24,nan,nan,50,1039,2,0
Station_Marrakech,mars,16,nan,90,nan,nan,1020,nan,0
Station_Marrakech,mars,17,14,58,nan,nan,nan,nan,0
Station_Marrakech,mars,18,nan,74,nan,34,nan,nan,0
Station_Marrakech,mars,19,2,nan,14,nan,nan,nan,0
Station_Marrakech,mars,20,nan,71,nan,40,nan,10,0
Station_Marrakech,mars,21,nan,nan,nan,65,1018,1,0
Station_Marrakech,mars,22,14,nan,nan,nan,nan,nan,0
Station_Marrakech,mars,23,19,nan,2,nan,nan,nan,0
Station_Marrakech,mars,24,nan,nan,nan,60,1025,5,0
Station_Marrakech,mars,25,nan,77,nan,81,1033,nan,0
Station_Marrakech,mars,26,nan,nan,nan,nan,nan,nan,0
Station_Marrakech,mars,27,40,nan,16,26,1027,nan,0
Station_Marrakech,mars,28,34,nan,17,nan,nan,nan,0
Station_Marrakech,mars,29,30,44,1,9,nan,4,75
Station_Marrakech,mars,30,nan,23,nan,nan,1021,11,0
Station_Marrakech,mars,31,nan,10,17,nan,1002,2,0
Station_Marrakech,avril,1,35,nan,10,nan,980,10,0
Station_Marrakech,avril,2,8,79,nan,nan,1020,nan,0
Station_Marrakech,avril,3,nan,nan,nan,83,nan,nan,0
Station_Marrakech,avril,4,nan,nan,5,92,987,0,0
Station_Marrakech,avril,5,nan,nan,2,93,997,3,0
Station_Marrakech,avril,6,14,nan,16,nan,nan,nan,0
Station_Marrakech,avril,7,28,nan,nan,14,985,2,0
Station_Marrakech,avril,8,2,42,10,93,nan,nan,0
Station_Marrakech,avril,9,5,nan,20,47,1013,7,0
Station_Marrakech,avril,10,nan,61,nan,99,nan,nan,0
Station_Marrakech,avril,11,9,nan,2,51,nan,nan,0
Station_Marrakech,avril,12,33,81,nan,65,nan,nan,0
Station_Marrakech,avril,13,nan,nan,nan,nan,1019,nan,0
Station_Marrakech,avril,14,nan,nan,nan,45,1027,9,0
Station_Marrakech,avril,15,18,13,nan,nan,nan,nan,0
Station_Marrakech,avril,16,nan,9,nan,94,998,nan,0
Station_Marrakech,avril,17,nan,60,nan,nan,1004,nan,0
Station_Marrakech,avril,18,39,82,nan,40,nan,1,0
Station_Marrakech,avril,19,nan,nan,7,nan,981,nan,0
Station_Marrakech,avril,20,nan,65,nan,nan,nan,nan,0
Station_Marrakech,avril,21,25,62,nan,nan,1031,7,0
Station_Marrakech,avril,22,37,29,14,nan,nan,1,0
Station_Marrakech,avril,23,nan,68,nan,27,1012,2,0
Station_Marrakech,avril,24,nan,57,2,nan,1030,10,0
Station_Marrakech,avril,25,nan,nan,nan,93,nan,nan,0
Station_Marrakech,avril,26,nan,nan,nan,16,nan,11,0
Station_Marrakech,avril,27,8,32,nan,nan,nan,5,0
Station_Marrakech,avril,28,nan,24,5,nan,1023,2,0
Station_Marrakech,avril,29,39,12,19,nan,nan,nan,0
Station_Marrakech,avril,30,31,nan,nan,nan,1014,3,0
Station_Marrakech,mai,1,nan,29,nan,67,nan,nan,0
Station_Marrakech,mai,2,23,48,17,95,nan,1,55
Station_Marrakech,mai,3,7,63,4,23,1037,nan,0
Station_Marrakech,mai,4,3,nan,nan,nan,nan,3,0
Station_Marrakech,mai,5,12,85,10,23,nan,11,43
Station_Marrakech,mai,6,nan,60,19,56,1037,nan,0
Station_Marrakech,mai,7,nan,62,14,84,nan,7,0
Station_Marrakech,mai,8,nan,nan,nan,49,1007,nan,0
Station_Marrakech,mai,9,11,65,5,94,nan,nan,0
Station_Marrakech,mai,10,0,nan,18,nan,1033,nan,0
Station_Marrakech,mai,11,0,34,nan,nan,nan,nan,0
Station_Marrakech,mai,12,7,nan,13,nan,nan,nan,0
Station_Marrakech,mai,13,39,nan,5,nan,1029,nan,0
Station_Marrakech,mai,14,36,nan,nan,nan,1029,nan,0
Station_Marrakech,mai,15,30,70,19,nan,991,11,0
Station_Marrakech,mai,16,21,61,8,nan,nan,nan,0
Station_Marrakech,mai,17,nan,93,nan,nan,nan,2,0
Station_Marrakech,mai,18,27,95,5,nan,993,nan,0
Station_Marrakech,mai,19,nan,85,17,19,986,nan,0
Station_Marrakech,mai,20,25,nan,2,11,nan,11,0
Station_Marrakech,mai,21,30,nan,14,nan,nan,nan,0
Station_Marrakech,mai,22,nan,nan,nan,83,nan,0,0
Station_Marrakech,mai,23,nan,97,0,29,1013,nan,0
Station_Marrakech,mai,24,19,80,nan,nan,nan,nan,0
Station_Marrakech,mai,25,nan,29,nan,nan,nan,nan,0
Station_Marrakech,mai,26,23,100,0,12,1029,nan,0
Station_Marrakech,mai,27,nan,79,11,nan,987,10,0
Station_Marrakech,mai,28,4,nan,nan,31,1013,nan,0
Station_Marrakech,mai,29,nan,13,nan,1,nan,10,0
Station_Marrakech,mai,30,32,83,9,70,1012,nan,0
Station_Marrakech,mai,31,nan,36,5,nan,990,nan,0
Station_Marrakech,juin,1,12,57,nan,nan,988,8,0
Station_Marrakech,juin,2,38,18,14,nan,nan,10,0
