annee,mois,jour,temperature,humidite,precipitations,vent,pression,indice_uv,score
2023,janvier,1,13.9,80.5,5.2,15.6,1017.6,nan,0
2023,janvier,2,10.6,nan,6.7,17.3,1021.4,1.7,0
2023,janvier,3,nan,nan,5.9,17.3,1012.8,0.9,0
2023,janvier,4,nan,70.8,4.9,16.1,1016.4,nan,0
2023,janvier,5,12.5,79.6,2.6,17.0,1015.3,1.7,61
2023,janvier,6,10.0,67.9,8.9,13.7,1017.1,2.6,68
2023,janvier,7,8.6,nan,7.3,9.4,1019.2,2.8,0
2023,janvier,8,13.9,76.5,7.5,nan,1014.2,nan,0
2023,janvier,9,10.4,75.2,nan,nan,1019.4,3.1,0
2023,janvier,10,5.9,75.7,3.9,20.6,1019.4,0.9,51
2023,janvier,11,6.3,74.1,4.5,16.6,1016.5,nan,0
2023,janvier,12,9.8,65.0,4.6,22.4,1017.2,3.1,58
2023,janvier,13,nan,88.2,5.9,15.0,1011.7,1.7,0
2023,janvier,14,11.5,73.1,3.7,21.0,1013.5,2.9,61
2023,janvier,15,15.7,77.3,3.7,18.7,1014.8,1.5,61
2023,janvier,16,nan,77.4,6.2,nan,1015.8,1.7,0
2023,janvier,17,nan,83.6,3.8,23.5,nan,1.0,0
2023,janvier,18,9.3,67.2,4.2,nan,nan,3.9,0
2023,janvier,19,11.2,73.6,nan,16.1,1020.6,nan,0
2023,janvier,20,13.3,76.5,5.3,nan,1016.3,1.1,0
2023,janvier,21,10.7,75.4,6.5,20.9,nan,0.0,61
2023,janvier,22,13.9,nan,nan,16.1,nan,2.7,0
2023,janvier,23,9.5,61.4,3.7,19.3,1020.3,1.8,58
2023,janvier,24,10.3,80.5,3.7,25.8,1019.1,0.8,56
2023,janvier,25,nan,76.5,3.6,nan,1015.4,3.2,0
2023,janvier,26,14.2,70.8,6.8,22.5,nan,nan,0
2023,janvier,27,17.3,79.8,5.9,10.7,nan,1.6,61
2023,janvier,28,14.0,77.1,3.8,14.5,1017.7,1.5,61
2023,janvier,29,13.9,76.7,3.9,14.0,1018.6,1.6,61
2023,janvier,30,13.3,75.2,0.0,18.9,1022.2,2.6,68
2023,janvier,31,4.3,77.2,3.7,10.4,1018.0,3.1,51
2023,fevrier,1,9.9,73.5,7.3,20.4,1017.6,3.7,51
2023,fevrier,2,15.8,77.4,3.0,nan,1016.1,3.8,0
2023,fevrier,3,12.5,67.8,4.6,22.3,1019.3,nan,0
2023,fevrier,4,9.5,78.5,4.2,24.3,1021.2,3.6,51
2023,fevrier,5,nan,77.5,5.9,18.7,1019.1,3.4,0
2023,fevrier,6,11.7,71.0,3.4,14.7,1018.7,3.3,61
2023,fevrier,7,11.3,74.1,3.4,15.8,1016.8,nan,0
2023,fevrier,8,12.7,71.4,4.2,15.5,1024.0,1.9,61
2023,fevrier,9,7.9,71.1,3.6,20.8,1019.0,1.7,51
2023,fevrier,10,14.2,78.6,5.2,14.6,1014.1,3.6,61
2023,fevrier,11,11.6,nan,3.1,19.9,1015.0,3.9,0
2023,fevrier,12,9.4,65.2,9.0,25.1,1015.3,3.0,58
2023,fevrier,13,9.5,73.2,4.9,16.6,1017.3,2.0,51
2023,fevrier,14,13.0,nan,4.0,nan,1018.9,1.1,0
2023,fevrier,15,11.0,70.7,2.6,15.9,1015.2,3.8,61
2023,fevrier,16,14.1,67.5,7.9,14.0,1022.2,3.1,68
2023,fevrier,17,10.8,79.5,9.0,21.2,1014.0,3.0,61
2023,fevrier,18,11.0,68.9,0.0,nan,1019.5,4.5,0
2023,fevrier,19,9.0,74.8,nan,20.6,1016.5,4.2,0
2023,fevrier,20,10.1,69.8,4.3,17.3,1014.9,2.4,68
2023,fevrier,21,13.8,68.8,3.5,16.2,1012.1,3.7,68
2023,fevrier,22,13.8,62.9,nan,12.0,1018.0,3.6,0
2023,fevrier,23,12.4,68.7,nan,18.5,1019.6,0.5,0
2023,fevrier,24,13.0,74.4,4.9,nan,1015.3,2.1,0
2023,fevrier,25,10.2,71.5,2.0,20.9,1016.4,4.2,68
2023,fevrier,26,14.2,nan,4.0,13.3,1018.7,2.1,0
2023,fevrier,27,14.1,73.9,5.6,21.7,1024.9,3.5,61
2023,fevrier,28,10.5,79.9,4.7,nan,1011.6,2.9,0
2023,fevrier,29,15.1,77.6,6.9,16.3,1018.4,3.5,61
2023,mars,1,16.1,70.0,7.9,7.0,1017.8,nan,0
2023,mars,2,15.8,69.3,1.4,19.2,1017.1,3.7,75
2023,mars,3,12.1,61.2,nan,17.0,1016.0,5.6,0
