nom_station,mois,jour,temperature,humidite,precipitations,vent,pression,indice_uv,score
Station_Rabat,janvier,1,14,nan,nan,nan,nan,nan,0
Station_Rabat,janvier,2,nan,nan,nan,85,1022,10,0
Station_Rabat,janvier,3,19,14,nan,nan,nan,7,0
Station_Rabat,janvier,4,nan,nan,11,23,nan,4,0
Station_Rabat,janvier,5,nan,nan,11,55,1025,8,0
Station_Rabat,janvier,6,28,26,2,nan,nan,nan,0
Station_Rabat,janvier,7,38,nan,nan,57,nan,11,0
Station_Rabat,janvier,8,nan,nan,nan,nan,996,5,0
Station_Rabat,janvier,9,nan,74,nan,15,nan,0,0
Station_Rabat,janvier,10,nan,nan,nan,nan,nan,11,0
Station_Rabat,janvier,11,nan,99,19,nan,nan,nan,0
Station_Rabat,janvier,12,13,3,nan,nan,nan,nan,0
Station_Rabat,janvier,13,1,nan,17,nan,nan,3,0
Station_Rabat,janvier,14,nan,64,0,nan,nan,nan,0
Station_Rabat,janvier,15,31,nan,2,nan,1015,nan,0
Station_Rabat,janvier,16,nan,nan,nan,nan,nan,3,0
Station_Rabat,janvier,17,35,nan,nan,0,1037,nan,0
Station_Rabat,janvier,18,6,84,nan,98,987,2,0
Station_Rabat,janvier,19,29,nan,20,63,nan,nan,0
Station_Rabat,janvier,20,37,nan,nan,52,nan,6,0
Station_Rabat,janvier,21,nan,nan,nan,56,nan,8,0
Station_Rabat,janvier,22,nan,4,nan,nan,998,6,0
Station_Rabat,janvier,23,nan,47,15,25,997,4,0
Station_Rabat,janvier,24,nan,nan,13,58,1001,3,0
Station_Rabat,janvier,25,35,nan,nan,91,1006,nan,0
Station_Rabat,janvier,26,13,99,nan,7,nan,nan,0
Station_Rabat,janvier,27,22,nan,0,55,1004,nan,0
Station_Rabat,janvier,28,31,31,15,nan,nan,nan,0
Station_Rabat,janvier,29,nan,32,nan,nan,nan,nan,0
Station_Rabat,janvier,30,16,58,nan,nan,1033,nan,0
Station_Rabat,janvier,31,nan,nan,15,nan,nan,0,0
Station_Rabat,fevrier,1,nan,nan,18,13,1026,nan,0
Station_Rabat,fevrier,2,15,nan,2,40,nan,7,0
Station_Rabat,fevrier,3,nan,nan,9,81,nan,nan,0
Station_Rabat,fevrier,4,nan,nan,13,nan,nan,9,0
Station_Rabat,fevrier,5,nan,98,6,nan,1024,nan,0
Station_Rabat,fevrier,6,nan,50,nan,nan,nan,3,0
Station_Rabat,fevrier,7,6,nan,12,nan,nan,nan,0
Station_Rabat,fevrier,8,39,19,nan,36,nan,10,0
Station_Rabat,fevrier,9,nan,69,14,30,nan,nan,0
Station_Rabat,fevrier,10,nan,91,15,nan,nan,nan,0
Station_Rabat,fevrier,11,nan,nan,16,79,nan,8,0
Station_Rabat,fevrier,12,4,21,nan,20,nan,4,0
Station_Rabat,fevrier,13,nan,63,nan,48,nan,3,0
Station_Rabat,fevrier,14,nan,nan,nan,nan,1017,10,0
Station_Rabat,fevrier,15,37,nan,16,62,981,11,0
Station_Rabat,fevrier,16,25,nan,6,49,nan,3,0
Station_Rabat,fevrier,17,nan,55,11,52,nan,7,0
Station_Rabat,fevrier,18,38,53,14,95,1025,4,35
Station_Rabat,fevrier,19,nan,nan,nan,36,nan,nan,0
Station_Rabat,fevrier,20,nan,62,nan,73,1035,5,0
Station_Rabat,fevrier,21,nan,48,nan,58,nan,11,0
Station_Rabat,fevrier,22,nan,nan,nan,77,nan,nan,0
Station_Rabat,fevrier,23,1,nan,10,89,nan,nan,0
Station_Rabat,fevrier,24,14,92,nan,nan,995,nan,0
Station_Rabat,fevrier,25,nan,nan,nan,nan,1009,nan,0
Station_Rabat,fevrier,26,nan,57,nan,nan,1021,2,0
Station_Rabat,fevrier,27,15,nan,15,nan,nan,nan,0
Station_Rabat,fevrier,28,nan,nan,nan,49,nan,11,0
Station_Rabat,fevrier,29,14,29,7,91,1017,nan,0
Station_Rabat,mars,1,31,21,nan,nan,1012,nan,0
Station_Rabat,mars,2,29,nan,nan,24,1028,9,0
Station_Rabat,mars,3,13,nan,nan,nan,nan,8,0
Station_Rabat,mars,4,12,nan,4,nan,nan,nan,0
Station_Rabat,mars,5,38,nan,8,77,nan,8,0
Station_Rabat,mars,6,13,78,15,nan,nan,6,0
Station_Rabat,mars,7,nan,nan,14,nan,nan,nan,0
Station_Rabat,mars,8,nan,nan,0,14,1002,7,0
Station_Rabat,mars,9,2,41,nan,63,1002,2,0
Station_Rabat,mars,10,6,nan,nan,80,nan,nan,0
Station_Rabat,mars,11,nan,42,20,nan,nan,9,0
Station_Rabat,mars,12,nan,74,nan,nan,1021,3,0
Station_Rabat,mars,13,nan,80,nan,95,nan,nan,0
Station_Rabat,mars,14,nan,71,nan,34,nan,nan,0
Station_Rabat,mars,15,29,91,nan,4,1012,nan,0
Station_Rabat,mars,16,nan,nan,18,nan,984,7,0
Station_Rabat,mars,17,nan,50,nan,nan,984,1,0
Station_Rabat,mars,18,nan,nan,0,60,nan,nan,0
Station_Rabat,mars,19,12,nan,nan,nan,1003,2,0
Station_Rabat,mars,20,36,48,nan,70,nan,4,0
Station_Rabat,mars,21,nan,nan,6,47,1006,0,0
Station_Rabat,mars,22,6,6,9,nan,1037,nan,0
Station_Rabat,mars,23,nan,nan,17,67,nan,11,0
Station_Rabat,mars,24,37,5,nan,5,nan,nan,0
Station_Rabat,mars,25,nan,nan,nan,nan,995,11,0
Station_Rabat,mars,26,26,nan,14,nan,nan,nan,0
Station_Rabat,mars,27,nan,nan,nan,nan,1036,4,0
Station_Rabat,mars,28,2,nan,12,nan,nan,nan,0
Station_Rabat,mars,29,35,nan,nan,nan,1029,nan,0
Station_Rabat,mars,30,nan,nan,nan,nan,nan,4,0
Station_Rabat,mars,31,0,nan,3,nan,980,1,0
Station_Rabat,avril,1,6,84,nan,93,1038,nan,0
Station_Rabat,avril,2,nan,nan,nan,88,nan,nan,0
Station_Rabat,avril,3,nan,41,nan,85,1015,10,0
